ID,Skills,Projects,Education,Experience,Job_Role,Required_Skills
55294,"React, Data Analysis, JavaScript, Machine Learning, Python, Network Security, RTOS, Pandas","IoT Smart Home, E-commerce Website",S1,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55295,"Machine Learning, Data Analysis, Visualization, Pharmacology, Manufacturing, Python, C, Surgery","IoT Smart Home, Fraud Detection System",S1,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55296,"CI/CD, Kubernetes, NumPy, CSS, Python, Docker, RTOS, Pandas","Cybersecurity Monitoring Tool, Cloud Deployment Project",S1,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55298,"APIs, Excel, CSS, Design, Python, CAD, Java, Electronics","AI Chatbot, Cybersecurity Monitoring Tool",S2,Fresher,Backend Developer,"Python, Java, SQL, APIs, Git"
55299,"Machine Learning, Deep Learning, Communication, Python, Network Security, CAD, Ethical Hacking, SIEM","Portfolio Website, IoT Smart Home",S1,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55300,"Thermodynamics, React, TensorFlow, Cryptography, Deep Learning, Python, Network Security, Surgery","IoT Smart Home, AI Chatbot",D3,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55301,"Data Analysis, JavaScript, Machine Learning, Design, Communication, Python, Java, Pandas","Healthcare App, Resume Analyzer",D3,Fresher,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55302,"APIs, Cryptography, Patient Care, Deep Learning, Python, SIEM, Surgery","Portfolio Website, Cloud Deployment Project",S2,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55303,"Kubernetes, Microcontrollers, Cryptography, Deep Learning, Python, Network Security, C","Cloud Deployment Project, Portfolio Website",D3,Fresher,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55304,"APIs, Linux, SQL, Pharmacology, Git, C, Electronics, Pandas","AI Chatbot, Cybersecurity Monitoring Tool",S2,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
55305,"Thermodynamics, TensorFlow, Ethical Hacking, PyTorch, Python, Electronics, HTML, SolidWorks","Stock Prediction Model, Healthcare App",S2,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55306,"Medical Knowledge, NumPy, Data Analysis, Machine Learning, Embedded Systems, HTML, Pandas","E-commerce Website, AI Chatbot",S2,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55308,"Kubernetes, NumPy, Python, Manufacturing, Network Security, Ethical Hacking, SIEM, Pandas","Portfolio Website, E-commerce Website",D3,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55309,"React, TensorFlow, Kubernetes, Linux, PyTorch, Python, Ethical Hacking, SIEM","AI Chatbot, Healthcare App",D3,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55310,"TensorFlow, Cryptography, Patient Care, Excel, SQL, PyTorch, Pharmacology, Python","Portfolio Website, AI Chatbot",S2,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55311,"Kubernetes, Excel, Deep Learning, JavaScript, CSS, Node.js, Pharmacology, Surgery","AI Chatbot, Fraud Detection System",D3,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55313,"Microcontrollers, JavaScript, SQL, Node.js, Network Security, Electronics, HTML","Portfolio Website, Healthcare App",D3,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55314,"React, APIs, Machine Learning, JavaScript, Visualization, SQL, Diagnosis, Git","AI Chatbot, E-commerce Website",S1,Fresher,Backend Developer,"Python, Java, SQL, APIs, Git"
55315,"Thermodynamics, APIs, Pharmacology, Python, Diagnosis, Java, Git, SolidWorks","Portfolio Website, Stock Prediction Model",D3,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
55317,"React, Kubernetes, Excel, Data Analysis, Machine Learning, Python, Diagnosis, Git","Fraud Detection System, Cybersecurity Monitoring Tool",S1,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55319,"React, Microcontrollers, Patient Care, JavaScript, Node.js, PyTorch, HTML, SolidWorks","Stock Prediction Model, AI Chatbot",S1,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55320,"Medical Knowledge, Excel, Data Analysis, Linux, Node.js, PyTorch, SQL, Network Security","E-commerce Website, Resume Analyzer",S2,Fresher,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55321,"Patient Care, JavaScript, CSS, PyTorch, Java, AWS, HTML","Cybersecurity Monitoring Tool, AI Chatbot",S1,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55322,"Thermodynamics, Medical Knowledge, CI/CD, Linux, Java, Embedded Systems, Ethical Hacking, Docker","Cybersecurity Monitoring Tool, Portfolio Website",S1,3-5 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55323,"TensorFlow, CI/CD, Linux, Design, SQL, Electronics, Docker","AI Chatbot, Stock Prediction Model",D3,5+ years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55324,"Microcontrollers, Patient Care, Cryptography, Git, Ethical Hacking, HTML, SolidWorks, SIEM","Healthcare App, Cloud Deployment Project",S1,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55325,"React, Deep Learning, JavaScript, CSS, SQL, Java, HTML","AI Chatbot, Cloud Deployment Project",S2,1-2 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55326,"Machine Learning, Design, Node.js, PyTorch, Pharmacology, Python, Diagnosis, AWS","Resume Analyzer, E-commerce Website",S1,1-2 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55327,"Medical Knowledge, TensorFlow, Data Analysis, JavaScript, Visualization, Communication, Electronics, Pandas","Cloud Deployment Project, IoT Smart Home",S2,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55329,"APIs, Excel, JavaScript, Design, Python, Manufacturing, Network Security, SIEM","Stock Prediction Model, Resume Analyzer",S1,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55330,"Thermodynamics, APIs, Excel, Design, Python, Git, Electronics, Docker","IoT Smart Home, Stock Prediction Model",S2,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
55331,"React, Machine Learning, Network Security, Java, C, Ethical Hacking, SolidWorks, SIEM","Healthcare App, E-commerce Website",S2,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55332,"TensorFlow, Kubernetes, APIs, SQL, Pharmacology, Python, Java, SolidWorks","Resume Analyzer, Cybersecurity Monitoring Tool",S1,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
55333,"CI/CD, Kubernetes, Machine Learning, CSS, Design, AWS, HTML","Resume Analyzer, Cybersecurity Monitoring Tool",D3,3-5 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55336,"JavaScript, PyTorch, Pharmacology, Python, Network Security, Ethical Hacking, Docker, SIEM","Resume Analyzer, IoT Smart Home",S2,5+ years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55339,"React, Medical Knowledge, Machine Learning, SQL, Node.js, Pharmacology, Embedded Systems, HTML","Resume Analyzer, Healthcare App",S2,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55340,"NumPy, APIs, Machine Learning, Python, Diagnosis, Git, Java","IoT Smart Home, AI Chatbot",S1,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
55341,"APIs, Surgery, Network Security, Diagnosis, Java, Git, HTML, SIEM","Resume Analyzer, E-commerce Website",S2,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
55344,"Surgery, Patient Care, SQL, Communication, Python, Java, Electronics, SIEM","IoT Smart Home, Portfolio Website",S2,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
55345,"TensorFlow, CI/CD, Excel, Visualization, Design, SQL, Python, Manufacturing","E-commerce Website, Stock Prediction Model",S2,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55346,"TensorFlow, JavaScript, SQL, PyTorch, Python, Network Security, Java, Pandas","Fraud Detection System, Portfolio Website",S2,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
55348,"TensorFlow, Kubernetes, CI/CD, Data Analysis, Git, Embedded Systems, AWS, Surgery","Cybersecurity Monitoring Tool, Resume Analyzer",S2,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55349,"Thermodynamics, CI/CD, Machine Learning, Deep Learning, Linux, PyTorch, Embedded Systems, Docker","Fraud Detection System, IoT Smart Home",S1,1-2 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55350,"React, APIs, Deep Learning, JavaScript, Linux, Node.js, Manufacturing, SolidWorks","Stock Prediction Model, E-commerce Website",S2,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55351,"Cryptography, CSS, Design, Node.js, Communication, CAD, AWS, HTML","Cloud Deployment Project, IoT Smart Home",D3,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55352,"Excel, SQL, Communication, C, Ethical Hacking, HTML","Cybersecurity Monitoring Tool, Resume Analyzer",S1,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55353,"CI/CD, Machine Learning, Linux, Git, C, Docker, SolidWorks, Pandas","Stock Prediction Model, AI Chatbot",S2,5+ years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55354,"Medical Knowledge, Excel, Data Analysis, CSS, Node.js, SQL, Java","Stock Prediction Model, IoT Smart Home",S2,5+ years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55355,"CI/CD, Kubernetes, Cryptography, Communication, Diagnosis, Electronics, AWS","Resume Analyzer, Cybersecurity Monitoring Tool",S1,1-2 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55356,"TensorFlow, Excel, Visualization, SQL, HTML, SolidWorks","AI Chatbot, Resume Analyzer",S2,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55357,"React, TensorFlow, Patient Care, Cryptography, JavaScript, Node.js, Communication, Pharmacology","Cybersecurity Monitoring Tool, Fraud Detection System",S1,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55358,"TensorFlow, NumPy, Microcontrollers, Machine Learning, Pharmacology, Python, Network Security, Diagnosis","AI Chatbot, Stock Prediction Model",S2,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55359,"TensorFlow, Patient Care, Machine Learning, Deep Learning, SQL, Git, Pandas","AI Chatbot, Healthcare App",S2,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55360,"CI/CD, NumPy, Machine Learning, Data Analysis, Manufacturing, RTOS, SolidWorks, Pandas","Fraud Detection System, IoT Smart Home",S2,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55361,"Patient Care, Visualization, Python, Network Security, Ethical Hacking, SolidWorks, SIEM, Pandas","IoT Smart Home, Fraud Detection System",S2,5+ years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55362,"React, Excel, Data Analysis, Python, Git, HTML, Surgery, Pandas","Stock Prediction Model, Cybersecurity Monitoring Tool",S1,Fresher,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55365,"TensorFlow, Kubernetes, Microcontrollers, CI/CD, Excel, Data Analysis, Node.js, Communication","Stock Prediction Model, E-commerce Website",S1,Fresher,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55366,"CI/CD, Kubernetes, Excel, Data Analysis, CSS, AWS, Docker, Pandas","Cloud Deployment Project, Resume Analyzer",S1,5+ years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55367,"Microcontrollers, Patient Care, Linux, SQL, PyTorch, Python, Network Security, SIEM","Healthcare App, Stock Prediction Model",S1,Fresher,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55368,"Cryptography, Design, Network Security, Git, Ethical Hacking, Docker, SIEM","E-commerce Website, Cybersecurity Monitoring Tool",S1,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55369,"Thermodynamics, TensorFlow, Linux, Design, SQL, Java, Git, Docker","Cybersecurity Monitoring Tool, AI Chatbot",S1,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
55370,"TensorFlow, NumPy, Deep Learning, Linux, PyTorch, Python, Electronics, Pandas","E-commerce Website, Fraud Detection System",S1,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55372,"CI/CD, TensorFlow, Data Analysis, Machine Learning, SQL, Python, Git, Surgery","IoT Smart Home, Fraud Detection System",S2,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55373,"NumPy, Data Analysis, PyTorch, Pharmacology, Network Security, CAD, Docker, Pandas","Fraud Detection System, AI Chatbot",S1,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55374,"Thermodynamics, React, Kubernetes, Microcontrollers, Data Analysis, Design, SQL, Communication","Fraud Detection System, Portfolio Website",S2,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55375,"CI/CD, Kubernetes, Linux, Manufacturing, Docker, HTML, SIEM, Pandas","Portfolio Website, E-commerce Website",S1,1-2 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55377,"React, Excel, Machine Learning, Deep Learning, Data Analysis, Visualization, Docker, RTOS","Portfolio Website, Stock Prediction Model",D3,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55380,"Medical Knowledge, Kubernetes, Patient Care, Linux, Design, Pharmacology, Docker","Cybersecurity Monitoring Tool, Fraud Detection System",S2,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55381,"Excel, Deep Learning, Visualization, SQL, Communication, Python, Manufacturing","E-commerce Website, Resume Analyzer",S1,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55383,"Kubernetes, Excel, PyTorch, Diagnosis, Electronics, AWS, Docker","E-commerce Website, Portfolio Website",S2,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55384,"React, Data Analysis, Machine Learning, Design, Diagnosis, Electronics, Docker, Pandas","IoT Smart Home, Stock Prediction Model",S1,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55386,"Data Analysis, SQL, Communication, Network Security, Electronics, HTML, RTOS","Portfolio Website, Fraud Detection System",D3,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55387,"Excel, CSS, Pharmacology, Python, Java, Ethical Hacking, SIEM","Cybersecurity Monitoring Tool, Healthcare App",S1,Fresher,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55388,"Kubernetes, APIs, Linux, Python, Git, C, Docker","Cloud Deployment Project, Cybersecurity Monitoring Tool",S1,1-2 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55391,"CI/CD, Excel, Machine Learning, Linux, CSS, PyTorch, AWS, Docker","Healthcare App, Cybersecurity Monitoring Tool",S2,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55392,"Deep Learning, Data Analysis, Linux, Visualization, PyTorch, Communication, CAD, AWS","Cloud Deployment Project, IoT Smart Home",S2,5+ years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55394,"Patient Care, Excel, Data Analysis, CSS, Communication, Python, Git, RTOS","E-commerce Website, Fraud Detection System",D3,5+ years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55396,"React, Patient Care, JavaScript, Node.js, PyTorch, Ethical Hacking, Pandas","Cloud Deployment Project, Stock Prediction Model",S2,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55399,"React, NumPy, Excel, SQL, Python, Java, Git, AWS","Fraud Detection System, Healthcare App",S1,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
55400,"TensorFlow, Deep Learning, Visualization, Design, SQL, Communication, Java, Git","E-commerce Website, Cloud Deployment Project",S2,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55401,"TensorFlow, Excel, JavaScript, SQL, Node.js, CAD, HTML, Pandas","Healthcare App, Cybersecurity Monitoring Tool",S2,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55402,"CI/CD, NumPy, Cryptography, SQL, Network Security, Ethical Hacking, AWS, Pandas","Healthcare App, IoT Smart Home",S1,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55405,"Machine Learning, Data Analysis, Python, Java, Diagnosis, Docker, Surgery, Pandas","Cybersecurity Monitoring Tool, Portfolio Website",S2,Fresher,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55407,"React, CI/CD, JavaScript, Python, Pharmacology, HTML, RTOS, Surgery","Stock Prediction Model, Resume Analyzer",S1,1-2 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55409,"CI/CD, NumPy, Data Analysis, JavaScript, Visualization, Communication, Git","AI Chatbot, Fraud Detection System",S2,1-2 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55413,"TensorFlow, CI/CD, APIs, Cryptography, JavaScript, SQL, Python","Stock Prediction Model, Healthcare App",S1,Fresher,Backend Developer,"Python, Java, SQL, APIs, Git"
55415,"Cryptography, Data Analysis, Machine Learning, PyTorch, Python, Embedded Systems, HTML, SIEM","Fraud Detection System, Healthcare App",S1,Fresher,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55416,"Thermodynamics, Data Analysis, JavaScript, CSS, Design, Electronics, HTML","Fraud Detection System, Stock Prediction Model",S2,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55420,"Data Analysis, Machine Learning, Linux, Python, Java, Embedded Systems, RTOS, Pandas","Healthcare App, Portfolio Website",S2,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55421,"TensorFlow, CI/CD, APIs, Excel, CSS, Communication, Python, Git","AI Chatbot, Fraud Detection System",S2,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
55422,"React, CI/CD, Kubernetes, Patient Care, Node.js, SQL, Communication, Docker","Portfolio Website, E-commerce Website",S1,5+ years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55423,"React, TensorFlow, Machine Learning, Python, Git, Electronics, Pandas","AI Chatbot, Fraud Detection System",S2,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55425,"Medical Knowledge, CI/CD, Patient Care, Data Analysis, Linux, SQL, Communication, Java","Cloud Deployment Project, AI Chatbot",S1,5+ years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55427,"Thermodynamics, React, Excel, Cryptography, Machine Learning, PyTorch, Python, AWS","AI Chatbot, Cybersecurity Monitoring Tool",S2,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55428,"Cryptography, Visualization, Design, Ethical Hacking, Pharmacology, Python, Electronics, Surgery","Healthcare App, Cybersecurity Monitoring Tool",S2,5+ years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55429,"CI/CD, Linux, Git, AWS, Docker, SIEM","Cybersecurity Monitoring Tool, IoT Smart Home",S1,5+ years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55430,"APIs, Patient Care, Cryptography, Linux, Python, Manufacturing, Network Security, Embedded Systems","E-commerce Website, Resume Analyzer",D3,5+ years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55431,"TensorFlow, APIs, Linux, Python, Git, C, Java, RTOS","Stock Prediction Model, IoT Smart Home",S1,Fresher,Backend Developer,"Python, Java, SQL, APIs, Git"
55432,"Patient Care, Excel, Data Analysis, JavaScript, Visualization, PyTorch, Communication, Python","Fraud Detection System, Resume Analyzer",D3,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55433,"TensorFlow, APIs, Cryptography, Machine Learning, Node.js, Ethical Hacking, SIEM","Stock Prediction Model, Resume Analyzer",S2,3-5 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55434,"React, Data Analysis, JavaScript, CSS, PyTorch, Git, Embedded Systems, RTOS","Healthcare App, IoT Smart Home",S1,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55435,"Kubernetes, Visualization, SQL, Communication, Python, C, HTML","Cybersecurity Monitoring Tool, Resume Analyzer",S1,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55437,"CI/CD, Kubernetes, Linux, Manufacturing, Git, C, AWS, Docker","Healthcare App, Fraud Detection System",S2,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55438,"React, CI/CD, TensorFlow, Machine Learning, Visualization, Node.js, Python, Surgery","AI Chatbot, Healthcare App",S2,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55439,"TensorFlow, Microcontrollers, Machine Learning, PyTorch, Pharmacology, Embedded Systems, Pandas","AI Chatbot, Healthcare App",S1,1-2 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55440,"React, NumPy, Microcontrollers, Python, Manufacturing, AWS, SIEM, Pandas","E-commerce Website, Portfolio Website",S1,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55441,"Cryptography, Data Analysis, JavaScript, SQL, Python, CAD, Git, Docker","Cybersecurity Monitoring Tool, Cloud Deployment Project",S1,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
55442,"React, Medical Knowledge, Data Analysis, SQL, Node.js, Pharmacology, HTML, SIEM","Cybersecurity Monitoring Tool, Resume Analyzer",S1,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55443,"CI/CD, NumPy, Machine Learning, Linux, CSS, Network Security, SolidWorks, Pandas","E-commerce Website, Cloud Deployment Project",S2,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55446,"Microcontrollers, Machine Learning, Deep Learning, Visualization, SQL, Python, CAD, Java","E-commerce Website, AI Chatbot",S1,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55448,"CI/CD, Kubernetes, APIs, CAD, C, Docker, Pandas","Healthcare App, Resume Analyzer",S2,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
55449,"HTML, Kubernetes, TensorFlow, Node.js, PyTorch, Python, Docker, Surgery","AI Chatbot, Cloud Deployment Project",S2,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55451,"Medical Knowledge, Excel, Data Analysis, SQL, Communication, Network Security, Git, AWS","Fraud Detection System, IoT Smart Home",S1,Fresher,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55452,"Thermodynamics, CI/CD, NumPy, APIs, Data Analysis, CSS, Surgery, Pandas","Portfolio Website, E-commerce Website",D3,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55453,"Kubernetes, NumPy, Machine Learning, Node.js, Python, Network Security, Git, Embedded Systems","Healthcare App, Stock Prediction Model",S2,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55454,"Thermodynamics, APIs, Visualization, SQL, Pharmacology, Python, Embedded Systems, SolidWorks","Healthcare App, Portfolio Website",S1,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
55456,"CI/CD, Excel, Deep Learning, Machine Learning, PyTorch, Diagnosis, C, Docker","Cybersecurity Monitoring Tool, Healthcare App",S1,Fresher,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55460,"React, CI/CD, JavaScript, Design, Node.js, CAD, Electronics, HTML","Stock Prediction Model, AI Chatbot",S2,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55463,"TensorFlow, Linux, SQL, Python, Network Security, Java, CAD, SIEM","E-commerce Website, AI Chatbot",S2,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55464,"Deep Learning, Linux, PyTorch, Python, CAD, C, Git, Pandas","E-commerce Website, Portfolio Website",S2,Fresher,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55465,"Microcontrollers, Patient Care, Data Analysis, Visualization, Communication, HTML, Surgery, Pandas","AI Chatbot, E-commerce Website",S2,Fresher,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
55466,"Thermodynamics, Medical Knowledge, React, JavaScript, Visualization, Network Security, Embedded Systems, HTML","AI Chatbot, Portfolio Website",S2,1-2 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55467,"NumPy, Machine Learning, Data Analysis, Design, Manufacturing, Network Security, C, Docker","Resume Analyzer, Fraud Detection System",D3,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55469,"Medical Knowledge, Surgery, Deep Learning, Machine Learning, Linux, PyTorch, Ethical Hacking, SIEM","Healthcare App, Resume Analyzer",S1,Fresher,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
55471,"React, Excel, Machine Learning, JavaScript, SQL, Pharmacology, C, HTML","Healthcare App, Cloud Deployment Project",S1,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55472,"APIs, Deep Learning, JavaScript, Network Security, Ethical Hacking, SolidWorks, SIEM","Portfolio Website, AI Chatbot",S2,Fresher,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
55473,"React, CI/CD, Thermodynamics, APIs, Node.js, PyTorch, SQL, Git","Stock Prediction Model, Healthcare App",S2,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
55474,"Data Analysis, Machine Learning, Python, CAD, AWS, RTOS, Pandas","Stock Prediction Model, IoT Smart Home",S1,Fresher,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
55475,"HTML, NumPy, CSS, Node.js, Pharmacology, Ethical Hacking, Docker","Cybersecurity Monitoring Tool, Stock Prediction Model",S2,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
55476,"CI/CD, NumPy, Microcontrollers, APIs, Cryptography, Visualization, Java, Git","Cybersecurity Monitoring Tool, AI Chatbot",S2,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
55477,"NumPy, APIs, Deep Learning, Linux, SQL, Python, CAD, Java","Cybersecurity Monitoring Tool, Cloud Deployment Project",S2,Fresher,Backend Developer,"Python, Java, SQL, APIs, Git"
55478,"TensorFlow, Microcontrollers, Deep Learning, JavaScript, Python, Electronics, Surgery","Healthcare App, Fraud Detection System",S1,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
